year,genus,transect,count,mean_diameter,mean_height,mean_volume
2013,Acr,T01,6,7.308875157121412,10.525,151.16854166666667
2013,Acr,T02,4,5.656854249492381,5,26.666666666666668
2013,Poc,T01,15,5.098891719524623,6.050000000000001,248.7139791666667
2013,Poc,T02,19,6.468265891301827,6.05,130.89455555555554
2013,Por,T01,150,4.292690332178569,4.7059999999999995,71.15507333333333
2013,Por,T02,67,7.399223319002059,6.875,581.4780138888889
2014,Acr,T01,2,2.5159225005367554,2.8,3.4124999999999996
2014,Acr,T02,2,NA,NA,NA
2014,Poc,T01,13,3.9298211439124393,4.4125,167.2240833333334
2014,Poc,T02,9,3.772217157414629,3.5,16.48911111111111
2014,Por,T01,111,3.989839555638698,3.8575,62.40318541666667
2014,Por,T02,52,8.150106517948153,7.287999999999999,792.8624133333334
2015,Acr,T01,2,5.511215017877959,5.449999999999999,28.289750000000005
2015,Acr,T02,2,NA,NA,NA
2015,Poc,T01,16,3.3429230498620255,4.279999999999999,144.63985000000005
2015,Poc,T02,11,2.5644760899172163,2.0666666666666664,6.7846111111111105
2015,Por,T01,89,3.9064684987772296,4.12089552238806,52.161111940298504
2015,Por,T02,42,5.879313861805715,5.315,386.51691666666665
2016,Acr,T01,1,1.7888543819998317,4.1,2.1866666666666665
2016,Acr,T02,2,NA,NA,NA
2016,Poc,T01,9,5.508593535165278,6.659999999999999,290.86413333333326
2016,Poc,T02,11,5.244097061733262,4.966666666666667,39.79833333333333
2016,Por,T01,73,4.322976920405611,4.028846153846153,53.12258974358974
2016,Por,T02,38,8.49101721368976,5.33,268.2033666666667
2017,Acr,T01,2,8.340263784797218,3.8,44.05466666666666
2017,Acr,T02,3,NA,NA,NA
2017,Poc,T01,10,9.06349550842647,5.725,269.9148333333334
2017,Poc,T02,16,2.9816509154573354,1.5333333333333334,4.486777777777778
2017,Por,T01,83,6.378141794855678,3.826666666666666,74.16942777777778
2017,Por,T02,48,7.989195509270053,4.016666666666667,85.84548611111111
2019,Acr,T01,2,2.618033988749895,2.5,3.0833333333333335
2019,Acr,T02,3,4.898979485566356,2,8
2019,Poc,T01,9,11.216659223116539,8.7,369.8333333333333
2019,Poc,T02,10,5.229953363995703,3.5833333333333335,27.430555555555554
2019,Por,T01,73,6.055862202243866,4.285714285714286,50.67619047619048
2019,Por,T02,40,7.978825786752914,9.352941176470589,275.54166666666663
2020,Acr,T02,2,4.654583911577025,3.75,19.166666666666668
2020,Poc,T01,6,9.053241717988314,8.333333333333334,191.19444444444443
2020,Poc,T02,6,5.8269135661359535,4.833333333333333,36.27777777777778
2020,Por,T01,56,8.261747037067778,8.823529411764707,123.56509803921568
2020,Por,T02,33,6.934553222519725,5.45,114.71666666666667
2021,Acr,T01,3,1.318496515237585,1.6666666666666667,0.6137777777777779
2021,Poc,T01,7,6.474645500248575,5.033333333333333,119.38511111111112
2021,Poc,T02,4,7.761427765252133,6.25,62.76
2021,Por,T01,54,6.654350589296312,6.540909090909091,83.16807575757576
2021,Por,T02,20,12.558758090868837,7.728571428571429,818.3719047619047
2022,Acr,T02,2,4.433433879924341,4.449999999999999,15.134999999999998
2022,Mil,T01,2,2.972599650551392,0.6,1.929166666666667
2022,Poc,T01,11,3.8295494607272307,3.157142857142857,81.6007380952381
2022,Poc,T02,11,3.7868688768039274,3.8222222222222224,24.41272222222222
2022,Por,T01,53,7.654642103010292,7.205,111.46383333333335
2022,Por,T02,18,9.310290081418854,8.4,244.49053333333333
